Borough,Metric Score
Manhattan,3.57
Manhattan,4.87
Manhattan,4.88
Manhattan,3.76
Manhattan,4.91
Manhattan,4.91
Manhattan,4.92
Manhattan,4.9
Manhattan,2.34
Manhattan,4.89
Manhattan,4.9
Manhattan,4.99
Manhattan,4.89
Manhattan,4.94
Manhattan,4.95
Manhattan,4.91
Manhattan,4.91
Manhattan,4.99
Manhattan,4.99
Manhattan,4.97
Manhattan,4.99
Manhattan,4.99
Manhattan,4.7
Manhattan,4.95
Manhattan,3.54
Manhattan,3.68
Manhattan,3.49
Manhattan,3.65
Manhattan,4.71
Manhattan,3.4
Manhattan,4.73
Manhattan,4.45
Manhattan,3.39
Manhattan,3.44
Manhattan,4.46
Manhattan,3.21
Manhattan,1.45
Manhattan,4.05
Manhattan,4.4
Manhattan,1.99
Manhattan,2.25
Manhattan,2.62
Manhattan,2.7
Manhattan,3.25
Manhattan,3.67
Manhattan,3.14
Manhattan,2.02
Manhattan,2.14
Manhattan,1.89
Manhattan,2.78
Manhattan,2.52
Manhattan,4.73
Manhattan,4.77
Manhattan,4.94
Manhattan,4.7
Manhattan,4.79
Manhattan,3.05
Manhattan,2.38
Manhattan,4.69
Manhattan,4.99
Manhattan,4.69
Manhattan,4.77
Manhattan,4.69
Manhattan,4.99
Manhattan,4.53
Manhattan,3.28
Manhattan,1.14
Manhattan,4.8
Manhattan,4.77
Manhattan,1.05
Manhattan,1.93
Manhattan,2.24
Manhattan,3.55
Manhattan,1.99
Manhattan,4.98
Manhattan,4.91
Manhattan,4.99
Manhattan,4.88
Manhattan,4.88
Manhattan,4.88
Manhattan,4.88
Manhattan,4.88
Manhattan,4.88
Manhattan,4.89
Manhattan,4.88
Manhattan,2.13
Manhattan,4.99
Manhattan,4.92
Manhattan,4.96
Manhattan,4.99
Manhattan,4.99
Manhattan,4.93
Manhattan,4.89
Manhattan,4.89
Manhattan,4.98
Manhattan,4.97
Manhattan,4.93
Manhattan,4.99
Manhattan,4.95
Manhattan,3.37
Manhattan,4.99
Manhattan,3.47
Manhattan,3.95
Manhattan,3.65
Manhattan,2.95
Manhattan,1.7
Manhattan,1.75
Manhattan,3.6
Manhattan,2.89
Manhattan,2.33
Manhattan,2.11
Manhattan,4.93
Manhattan,4.37
Manhattan,4.98
Manhattan,2.96
Manhattan,2.46
Manhattan,3.79
Manhattan,2.95
Manhattan,2.17
Manhattan,2.88
Manhattan,3.24
Manhattan,4.96
Manhattan,2.65
Manhattan,2.39
Manhattan,2.95
Manhattan,2.77
Manhattan,4.51
Manhattan,4.99
Manhattan,4.72
Manhattan,4.77
Manhattan,4.99
Manhattan,4.76
Manhattan,4.47
Manhattan,4.77
Manhattan,3.28
Manhattan,4.99
Manhattan,4.7
Manhattan,4.99
Manhattan,3.97
Manhattan,4.99
Manhattan,4.99
Manhattan,3.09
Manhattan,4.43
Manhattan,3.88
Manhattan,2.87
Manhattan,2.75
Manhattan,2.66
Manhattan,4.99
Manhattan,4.8
Manhattan,4.99
Manhattan,2.78
Manhattan,2.67
Manhattan,4.93
Manhattan,4.94
Manhattan,4.5
Manhattan,3.97
Manhattan,4.95
Manhattan,4.96
Manhattan,2.62
Manhattan,1.56
Manhattan,2.99
Manhattan,4.99
Manhattan,4.99
Manhattan,2.7
Manhattan,2.83
Manhattan,4.99
Manhattan,4.75
Manhattan,2.83
Manhattan,2.46
Manhattan,4.35
Manhattan,4.99
Manhattan,2.97
Manhattan,4.79
Manhattan,4.37
Manhattan,4.86
Manhattan,4.93
Manhattan,4.74
Manhattan,3.59
Manhattan,3.39
Manhattan,1.92
Manhattan,2.26
Manhattan,4.89
Manhattan,3.3
Manhattan,4.28
Manhattan,1.99
Manhattan,2.82
Manhattan,2.62
Manhattan,4.39
Manhattan,3.27
Manhattan,1.34
Manhattan,3.37
Manhattan,4.68
Manhattan,4.31
Manhattan,4.99
Manhattan,4.97
Manhattan,4.96
Manhattan,4.99
Manhattan,1.27
Manhattan,1.0
Manhattan,1.08
Manhattan,3.95
Manhattan,1.01
Manhattan,1.59
Manhattan,1.81
Manhattan,2.12
Manhattan,1.0
Manhattan,1.68
Manhattan,2.45
Manhattan,2.58
Manhattan,2.53
Manhattan,2.11
Manhattan,1.43
Manhattan,1.73
Manhattan,1.02
Manhattan,2.49
Manhattan,1.45
Manhattan,4.93
Manhattan,3.79
Manhattan,1.82
Manhattan,4.93
Manhattan,4.95
Manhattan,3.51
Manhattan,4.25
Manhattan,4.9
Manhattan,3.42
Manhattan,4.98
Manhattan,3.39
Manhattan,2.56
Manhattan,1.99
Manhattan,2.47
Manhattan,2.29
Manhattan,1.96
Manhattan,2.05
Manhattan,2.01
Manhattan,2.1
Manhattan,2.8
Manhattan,2.78
Manhattan,2.15
Manhattan,2.53
Manhattan,2.68
Manhattan,4.99
Manhattan,4.78
Manhattan,2.52
Manhattan,2.0
Manhattan,2.62
Manhattan,2.82
Manhattan,1.92
Manhattan,2.91
Manhattan,1.98
Manhattan,3.98
Manhattan,2.09
Manhattan,4.04
Manhattan,4.94
Manhattan,4.87
Manhattan,4.94
Manhattan,4.94
Manhattan,4.98
Manhattan,4.99
Manhattan,4.47
Manhattan,4.92
Manhattan,4.95
Manhattan,4.99
Manhattan,4.91
Manhattan,1.11
Manhattan,4.96
Manhattan,4.43
Manhattan,2.68
Manhattan,2.25
Manhattan,4.9
Manhattan,4.96
Manhattan,4.95
Manhattan,4.92
Manhattan,4.99
Manhattan,4.99
Manhattan,4.99
Manhattan,4.99
Manhattan,4.26
Manhattan,4.02
Manhattan,4.99
Manhattan,2.35
Manhattan,2.32
Manhattan,2.35
Manhattan,2.35
Manhattan,3.12
Manhattan,2.31
Manhattan,3.05
Manhattan,2.29
Manhattan,3.4
Manhattan,2.36
Manhattan,4.02
Manhattan,2.27
Manhattan,3.07
Manhattan,2.32
Manhattan,1.32
Manhattan,3.3
Manhattan,4.57
Manhattan,2.81
Manhattan,4.99
Manhattan,4.99
Manhattan,4.99
Manhattan,4.99
Manhattan,2.87
Manhattan,2.7
Manhattan,2.39
Manhattan,2.91
Manhattan,2.94
Manhattan,2.14
Manhattan,2.1
Manhattan,2.57
Manhattan,2.38
Manhattan,2.29
Manhattan,2.54
Manhattan,2.14
Manhattan,1.48
Manhattan,3.67
Manhattan,4.04
Manhattan,1.79
Manhattan,3.43
Manhattan,2.12
Manhattan,4.39
Manhattan,4.14
Manhattan,4.69
Manhattan,4.69
Manhattan,4.99
Manhattan,4.99
Manhattan,4.99
Manhattan,3.95
Manhattan,3.92
Manhattan,3.47
Manhattan,3.27
Manhattan,4.26
Manhattan,4.14
Manhattan,4.89
Manhattan,3.98
Manhattan,3.75
Manhattan,4.48
Manhattan,4.7
Manhattan,4.74
Manhattan,4.99
Manhattan,4.99
Manhattan,4.99
Manhattan,3.14
Manhattan,3.32
Manhattan,4.99
Manhattan,4.27
Manhattan,4.99
Manhattan,4.99
Manhattan,1.83
Manhattan,3.02
Manhattan,2.28
Manhattan,3.91
Manhattan,4.89
Manhattan,2.78
Manhattan,2.93
Manhattan,3.8
Manhattan,3.24
Manhattan,4.69
Manhattan,4.68
Manhattan,4.72
Manhattan,2.14
Manhattan,1.65
Manhattan,1.93
Manhattan,2.29
Manhattan,2.96
Manhattan,3.65
Manhattan,2.45
Manhattan,4.55
Manhattan,4.74
Manhattan,3.44
Manhattan,4.33
Manhattan,1.51
Manhattan,2.72
Manhattan,2.21
Manhattan,1.54
Manhattan,1.32
Manhattan,4.99
Manhattan,4.99
Manhattan,4.99
Manhattan,4.89
Manhattan,1.53
Manhattan,1.78
Manhattan,2.06
Manhattan,2.16
Manhattan,1.46
Manhattan,1.53
Manhattan,2.69
Manhattan,1.96
Manhattan,2.6
Manhattan,2.95
Manhattan,3.14
Manhattan,1.17
Manhattan,1.48
Manhattan,4.24
Manhattan,2.65
Manhattan,2.17
Manhattan,1.12
Manhattan,2.49
Manhattan,1.09
Manhattan,1.26
Manhattan,4.99
Manhattan,4.98
Manhattan,4.99
Manhattan,4.88
Manhattan,4.89
Manhattan,4.87
Manhattan,4.87
Manhattan,4.9
Manhattan,4.9
Manhattan,4.89
Manhattan,4.89
Manhattan,4.87
Manhattan,1.78
Manhattan,4.92
Manhattan,4.99
Manhattan,4.99
Manhattan,4.99
Manhattan,4.97
Manhattan,4.94
Manhattan,4.89
Manhattan,4.88
Manhattan,4.94
Manhattan,4.95
Manhattan,4.96
Manhattan,4.99
Manhattan,2.34
Manhattan,3.42
Manhattan,2.03
Manhattan,4.53
Manhattan,3.12
Manhattan,3.51
Manhattan,3.36
Manhattan,2.93
Manhattan,3.28
Manhattan,3.92
Manhattan,3.88
Manhattan,4.07
Manhattan,3.41
Manhattan,2.9
Manhattan,1.99
Manhattan,1.62
Manhattan,2.3
Manhattan,2.16
Manhattan,2.03
Manhattan,2.43
Manhattan,3.29
Manhattan,4.12
Manhattan,4.94
Manhattan,3.61
Manhattan,2.23
Manhattan,4.49
Manhattan,4.73
Manhattan,4.9
Manhattan,4.88
Manhattan,4.31
Manhattan,2.78
Manhattan,1.65
Manhattan,4.81
Manhattan,2.18
Manhattan,4.86
Manhattan,1.19
Manhattan,3.35
Manhattan,1.0
Manhattan,2.8
Manhattan,4.99
Manhattan,4.99
Manhattan,4.99
Manhattan,4.99
Manhattan,4.46
Manhattan,4.9
Manhattan,1.08
Manhattan,4.86
Manhattan,4.99
Manhattan,1.52
Manhattan,4.86
Manhattan,3.45
Manhattan,3.55
Manhattan,4.99
Manhattan,3.24
Manhattan,2.9
Manhattan,2.3
Manhattan,2.33
Manhattan,1.3
Manhattan,1.1
Manhattan,4.39
Manhattan,3.6
Manhattan,3.42
Manhattan,1.63
Manhattan,2.08
Manhattan,3.01
Manhattan,3.65
Manhattan,2.24
Manhattan,2.54
Manhattan,2.76
Manhattan,3.18
Manhattan,4.06
Manhattan,1.32
Manhattan,2.35
Manhattan,2.87
Manhattan,2.19
Manhattan,1.46
Manhattan,1.87
Manhattan,1.65
Manhattan,1.06
Manhattan,2.17
Manhattan,1.18
Manhattan,4.79
Manhattan,1.81
Manhattan,2.06
Manhattan,1.8
Manhattan,1.29
Manhattan,2.91
Manhattan,1.65
Manhattan,1.26
Manhattan,2.03
Manhattan,4.89
Manhattan,1.19
Manhattan,4.79
Manhattan,1.12
Manhattan,4.79
Manhattan,1.22
Manhattan,4.99
Manhattan,4.99
Manhattan,4.91
Manhattan,4.88
Manhattan,4.87
Manhattan,4.95
Manhattan,4.91
Manhattan,1.26
Manhattan,4.99
Manhattan,4.99
Manhattan,4.87
Manhattan,4.82
Manhattan,4.99
Manhattan,4.99
Manhattan,4.99
Manhattan,4.99
Manhattan,4.76
Manhattan,4.99
Manhattan,1.05
Manhattan,1.88
Manhattan,1.03
Manhattan,1.59
Manhattan,2.31
Manhattan,2.5
Manhattan,1.4
Manhattan,2.18
Manhattan,3.98
Manhattan,1.05
Manhattan,1.26
Manhattan,1.61
Manhattan,1.01
Manhattan,1.23
Manhattan,4.26
Manhattan,3.43
Manhattan,4.83
Manhattan,1.35
Manhattan,2.52
Manhattan,1.89
Manhattan,1.23
Manhattan,1.0
Manhattan,1.3
Manhattan,1.0
Manhattan,1.3
Manhattan,1.1
Manhattan,1.0
Manhattan,1.0
Manhattan,1.3
Manhattan,1.24
Manhattan,4.96
Manhattan,4.95
Manhattan,4.91
Manhattan,4.88
Manhattan,4.99
Manhattan,2.99
Manhattan,1.0
Manhattan,1.43
Manhattan,4.79
Manhattan,4.79
Manhattan,4.79
Manhattan,2.97
Manhattan,2.74
Manhattan,4.87
Manhattan,2.91
Manhattan,3.16
Manhattan,1.25
Manhattan,1.0
Manhattan,1.66
Manhattan,1.65
Manhattan,2.77
Manhattan,2.61
Manhattan,2.63
Manhattan,3.41
Manhattan,4.96
Manhattan,2.58
Manhattan,4.95
Manhattan,1.47
Manhattan,4.12
Manhattan,2.23
Manhattan,1.76
Manhattan,2.29
Manhattan,2.71
Manhattan,2.44
Manhattan,2.18
Manhattan,3.52
Manhattan,2.59
Manhattan,1.29
Manhattan,1.05
Manhattan,1.0
Manhattan,1.7
Manhattan,1.0
Manhattan,1.0
Manhattan,1.33
Manhattan,4.99
Manhattan,1.16
Manhattan,3.1
Manhattan,4.87
Manhattan,1.23
Manhattan,4.5
Manhattan,3.65
Manhattan,4.99
Manhattan,2.77
Manhattan,2.96
Manhattan,3.74
Manhattan,3.43
Manhattan,4.49
Manhattan,4.64
Manhattan,3.52
Manhattan,2.89
Manhattan,4.87
Manhattan,2.09
Manhattan,1.64
Manhattan,4.96
Manhattan,2.71
Manhattan,2.56
Manhattan,3.25
Manhattan,2.34
Manhattan,3.73
Manhattan,2.99
Manhattan,2.03
Manhattan,3.06
Manhattan,4.89
Manhattan,4.99
Manhattan,3.43
Manhattan,1.86
Manhattan,3.28
Manhattan,4.99
Manhattan,3.44
Manhattan,3.5
Manhattan,4.14
Manhattan,3.29
Manhattan,4.88
Manhattan,4.76
Manhattan,2.12
Manhattan,2.36
Manhattan,4.96
Manhattan,1.75
Manhattan,4.94
Manhattan,1.48
Manhattan,4.77
Manhattan,4.74
Manhattan,4.99
Manhattan,1.7
Manhattan,4.99
Manhattan,2.78
Manhattan,2.13
Manhattan,2.18
Manhattan,1.89
Manhattan,1.97
Manhattan,1.91
Manhattan,1.96
Manhattan,2.76
Manhattan,2.8
Manhattan,2.46
Manhattan,4.69
Manhattan,4.8
Manhattan,2.99
Manhattan,2.45
Manhattan,3.24
Manhattan,2.44
Manhattan,1.75
Manhattan,2.81
Manhattan,2.77
Manhattan,2.16
Manhattan,4.5
Manhattan,3.51
Manhattan,2.85
Manhattan,4.97
Manhattan,1.81
Manhattan,4.99
Manhattan,4.97
Manhattan,4.9
Manhattan,4.88
Manhattan,4.88
Manhattan,4.87
Manhattan,4.88
Manhattan,4.47
Manhattan,3.04
Manhattan,4.88
Manhattan,4.03
Manhattan,4.88
Manhattan,2.14
Manhattan,4.89
Manhattan,4.89
Manhattan,4.95
Manhattan,4.99
Manhattan,4.93
Manhattan,4.93
Manhattan,3.94
Manhattan,4.41
Manhattan,4.94
Manhattan,3.31
Manhattan,4.99
Manhattan,4.48
Manhattan,1.51
Manhattan,2.58
Manhattan,1.59
Manhattan,2.67
Manhattan,3.32
Manhattan,2.02
Manhattan,2.1
Manhattan,1.79
Manhattan,1.35
Manhattan,1.05
Manhattan,1.03
Manhattan,3.86
Manhattan,1.24
Manhattan,3.43
Manhattan,1.21
Manhattan,3.81
Manhattan,1.18
Manhattan,1.66
Manhattan,1.54
Manhattan,1.01
Manhattan,4.84
Manhattan,3.03
Manhattan,2.08
Manhattan,1.0
Manhattan,3.48
Manhattan,1.1
Manhattan,4.62
Manhattan,2.86
Manhattan,3.23
Manhattan,4.99
Manhattan,4.48
Manhattan,4.58
Manhattan,4.42
Manhattan,4.28
Manhattan,4.93
Manhattan,4.85
Manhattan,4.9
Manhattan,4.99
Manhattan,4.87
Manhattan,4.88
Manhattan,4.92
Manhattan,4.86
Manhattan,4.88
Manhattan,2.93
Manhattan,3.72
Manhattan,4.85
Manhattan,4.99
Manhattan,4.69
Manhattan,2.1
Manhattan,4.97
Manhattan,4.97
Manhattan,3.88
Manhattan,4.99
Manhattan,4.99
Manhattan,4.97
Manhattan,4.1
Manhattan,4.97
Manhattan,4.77
Manhattan,4.99
Manhattan,4.99
Manhattan,4.99
Manhattan,3.57
Manhattan,4.99
Manhattan,3.84
Manhattan,3.93
Manhattan,3.63
Manhattan,3.79
Manhattan,4.85
Manhattan,4.9
Manhattan,4.82
Manhattan,4.84
Manhattan,4.87
Manhattan,1.95
Manhattan,4.83
Manhattan,2.04
Manhattan,1.91
Manhattan,4.91
Manhattan,4.9
Manhattan,4.92
Manhattan,3.42
Manhattan,4.9
Manhattan,4.05
Manhattan,3.88
Manhattan,2.64
Manhattan,2.67
Manhattan,2.94
Manhattan,2.45
Manhattan,3.23
Manhattan,3.82
Manhattan,2.37
Manhattan,3.2
Manhattan,2.77
Manhattan,2.01
Manhattan,2.25
Manhattan,2.86
Manhattan,3.27
Manhattan,2.61
Manhattan,3.26
Manhattan,2.74
Manhattan,3.54
Manhattan,1.01
Manhattan,1.34
Manhattan,1.69
Manhattan,2.8
Manhattan,2.28
Manhattan,1.93
Manhattan,1.0
Manhattan,2.01
Manhattan,2.19
Manhattan,1.95
Manhattan,1.03
Manhattan,1.98
Manhattan,2.39
Manhattan,2.59
Manhattan,3.19
Manhattan,1.33
Manhattan,1.72
Manhattan,1.99
Manhattan,1.77
Manhattan,4.47
Manhattan,3.87
Manhattan,4.08
Manhattan,4.99
Manhattan,4.25
Manhattan,4.22
Manhattan,3.67
Manhattan,3.28
Manhattan,3.47
Manhattan,4.16
Manhattan,3.69
Manhattan,2.9
Manhattan,3.6
Manhattan,3.03
Manhattan,3.14
Manhattan,4.29
Manhattan,4.92
Manhattan,4.55
Manhattan,1.45
Manhattan,3.61
Manhattan,4.96
Manhattan,4.97
Manhattan,3.57
Manhattan,4.99
Manhattan,4.36
Manhattan,3.55
Manhattan,3.26
Manhattan,2.92
Manhattan,3.92
Manhattan,1.46
Manhattan,1.8
Manhattan,1.8
Manhattan,2.59
Manhattan,1.9
Manhattan,2.16
Manhattan,2.22
Manhattan,1.8
Manhattan,1.71
Manhattan,1.11
Manhattan,2.09
Manhattan,2.53
Manhattan,2.11
Manhattan,2.94
Manhattan,2.83
Manhattan,2.2
Manhattan,1.79
Manhattan,2.72
Manhattan,1.09
Manhattan,2.62
Manhattan,3.53
Manhattan,4.99
Manhattan,2.24
Manhattan,3.27
Manhattan,2.74
Manhattan,2.22
Manhattan,3.79
Manhattan,2.5
Manhattan,4.42
Manhattan,2.66
Manhattan,2.77
Manhattan,2.97
Manhattan,3.16
Manhattan,3.31
Manhattan,3.36
Manhattan,4.06
Manhattan,3.97
Manhattan,4.04
Manhattan,4.73
Manhattan,4.23
Manhattan,4.96
Manhattan,2.19
Manhattan,3.95
Manhattan,2.67
Manhattan,2.33
Manhattan,2.69
Manhattan,1.62
Manhattan,2.61
Manhattan,2.8
Manhattan,2.7
Manhattan,2.59
Manhattan,1.56
Manhattan,2.4
Manhattan,1.77
Manhattan,2.37
Manhattan,2.09
Manhattan,2.1
Manhattan,3.38
Manhattan,2.68
Manhattan,2.74
Manhattan,1.88
Manhattan,2.68
Manhattan,2.25
Manhattan,2.23
Manhattan,2.14
Manhattan,2.13
Manhattan,1.07
Manhattan,2.31
Manhattan,1.16
Manhattan,1.59
Manhattan,1.54
Manhattan,4.92
Manhattan,3.73
Manhattan,2.5
Manhattan,3.75
Manhattan,4.99
Manhattan,4.99
Manhattan,4.99
Manhattan,4.99
Manhattan,4.37
Manhattan,4.99
Manhattan,4.99
Manhattan,1.02
Manhattan,4.22
Manhattan,1.57
Manhattan,2.84
Manhattan,2.61
Manhattan,1.82
Manhattan,1.0
Manhattan,1.02
Manhattan,2.69
Manhattan,2.64
Manhattan,1.87
Manhattan,2.52
Manhattan,2.78
Manhattan,2.33
Manhattan,2.79
Manhattan,2.45
Manhattan,2.81
Manhattan,1.95
Manhattan,2.13
Manhattan,1.78
Manhattan,1.99
Manhattan,1.96
Manhattan,2.19
Manhattan,2.45
Manhattan,2.89
Manhattan,2.48
Manhattan,2.67
Manhattan,2.6
Manhattan,2.41
Manhattan,1.99
Manhattan,2.12
Manhattan,2.14
Manhattan,1.91
Manhattan,2.13
Manhattan,1.0
Manhattan,1.06
Manhattan,4.94
Manhattan,1.35
Manhattan,3.13
Manhattan,3.94
Manhattan,4.53
Manhattan,4.27
Manhattan,1.0
Manhattan,1.0
Manhattan,1.21
Manhattan,1.02
Manhattan,1.83
Manhattan,1.2
Manhattan,1.7
Manhattan,1.7
Manhattan,1.27
Manhattan,1.58
Manhattan,1.26
Manhattan,1.92
Manhattan,1.34
Manhattan,1.96
Manhattan,1.83
Manhattan,1.26
Manhattan,1.97
Manhattan,4.92
Manhattan,3.83
Manhattan,1.58
Manhattan,2.75
Manhattan,4.96
Manhattan,4.96
Manhattan,3.54
Manhattan,4.51
Manhattan,4.89
Manhattan,4.81
Manhattan,4.97
Manhattan,2.82
Manhattan,4.99
Manhattan,4.97
Manhattan,1.66
Manhattan,2.19
Manhattan,2.67
Manhattan,2.81
Manhattan,1.82
Manhattan,1.92
Manhattan,2.52
Manhattan,1.75
Manhattan,1.51
Manhattan,2.41
Manhattan,1.27
Manhattan,4.92
Manhattan,3.16
Manhattan,1.72
Manhattan,1.65
Manhattan,1.65
Manhattan,1.89
Manhattan,4.99
Manhattan,4.92
Manhattan,1.68
Manhattan,4.99
Manhattan,4.0
Manhattan,3.73
Manhattan,3.99
Manhattan,4.49
Manhattan,4.87
Manhattan,4.91
Manhattan,4.82
Manhattan,4.85
Manhattan,4.84
Manhattan,4.83
Manhattan,4.9
Manhattan,4.97
Manhattan,4.91
Manhattan,4.93
Manhattan,4.99
Manhattan,3.44
Manhattan,1.99
Manhattan,4.99
Manhattan,4.42
Manhattan,4.52
Manhattan,4.35
Manhattan,4.42
Manhattan,4.87
Manhattan,4.92
Manhattan,4.88
Manhattan,4.89
Manhattan,4.85
Manhattan,4.88
Manhattan,4.88
Manhattan,4.88
Manhattan,4.93
Manhattan,4.99
Manhattan,4.96
Manhattan,4.94
Manhattan,4.95
Manhattan,3.8
Manhattan,1.03
Manhattan,4.76
Manhattan,4.01
Manhattan,2.75
Manhattan,4.99
Manhattan,4.46
Manhattan,2.24
Manhattan,2.9
Manhattan,2.94
Manhattan,4.83
Manhattan,2.4
Manhattan,4.55
Manhattan,2.74
Manhattan,3.75
Manhattan,3.99
Manhattan,3.67
Manhattan,2.94
Manhattan,2.73
Manhattan,3.03
Manhattan,3.46
Manhattan,3.23
Manhattan,1.0
Manhattan,2.36
Manhattan,2.91
Manhattan,4.99
Manhattan,3.3
Manhattan,3.64
Manhattan,2.98
Manhattan,2.79
Manhattan,2.89
Manhattan,4.96
Manhattan,4.23
Manhattan,4.97
Manhattan,4.96
Manhattan,4.48
Manhattan,3.98
Manhattan,4.97
Manhattan,3.95
Manhattan,4.2
Manhattan,3.72
Manhattan,2.73
Manhattan,2.89
Manhattan,2.99
Manhattan,1.0
Manhattan,2.93
Manhattan,3.71
Manhattan,4.99
Manhattan,4.85
Manhattan,3.99
Manhattan,3.26
Manhattan,3.77
Manhattan,2.95
Manhattan,2.4
Manhattan,1.92
Manhattan,2.47
Manhattan,2.64
Manhattan,2.65
Manhattan,2.51
Manhattan,2.68
Manhattan,2.42
Manhattan,2.23
Manhattan,3.1
Manhattan,2.34
Manhattan,2.26
Manhattan,2.16
Manhattan,4.99
Manhattan,4.96
Manhattan,2.51
Manhattan,4.99
Manhattan,4.16
Manhattan,3.92
Manhattan,4.37
Manhattan,4.25
Manhattan,4.9
Manhattan,4.85
Manhattan,4.92
Manhattan,4.97
Manhattan,4.99
Manhattan,4.94
Manhattan,4.97
Manhattan,3.97
Manhattan,4.87
Manhattan,4.89
Manhattan,3.27
Manhattan,3.0
Manhattan,4.87
Manhattan,4.99
Manhattan,4.99
Manhattan,4.84
Manhattan,4.93
Manhattan,4.93
Manhattan,4.92
Manhattan,4.93
Manhattan,4.99
Manhattan,4.99
Manhattan,4.88
Manhattan,4.93
Manhattan,4.99
Manhattan,3.45
Manhattan,4.92
Manhattan,4.9
Manhattan,3.09
Manhattan,1.89
Manhattan,2.08
Manhattan,4.25
Manhattan,4.89
Manhattan,4.99
Manhattan,4.99
Manhattan,4.9
Manhattan,4.97
Manhattan,4.99
Manhattan,1.52
Manhattan,1.3
Manhattan,2.69
Manhattan,4.69
Manhattan,4.99
Manhattan,4.7
Manhattan,4.72
Manhattan,4.02
Manhattan,4.59
Manhattan,2.74
Manhattan,2.85
Manhattan,1.29
Manhattan,2.47
Manhattan,1.85
Manhattan,2.27
Manhattan,2.42
Manhattan,1.93
Manhattan,2.2
Manhattan,3.18
Manhattan,2.61
Manhattan,1.88
Manhattan,3.23
Manhattan,1.51
Manhattan,1.67
Manhattan,2.08
Manhattan,4.71
Manhattan,4.17
Manhattan,1.26
Manhattan,3.53
Manhattan,2.22
Manhattan,2.09
Manhattan,1.76
Manhattan,2.16
Manhattan,3.15
Manhattan,1.95
Manhattan,3.29
Manhattan,2.93
Manhattan,1.79
Manhattan,3.16
Manhattan,3.16
Manhattan,2.95
Manhattan,3.31
Manhattan,2.15
Manhattan,1.78
Manhattan,1.81
Manhattan,2.04
Manhattan,2.17
Manhattan,4.99
Manhattan,3.5
Manhattan,2.36
Manhattan,4.93
Manhattan,3.51
Manhattan,3.47
Manhattan,3.43
Manhattan,3.62
Manhattan,4.94
Manhattan,4.93
Manhattan,4.96
Manhattan,4.91
Manhattan,4.99
Manhattan,4.94
Manhattan,4.89
Manhattan,4.98
Manhattan,1.25
Manhattan,1.97
Manhattan,1.23
Manhattan,4.93
Manhattan,4.99
Manhattan,3.45
Manhattan,3.63
Manhattan,4.76
Manhattan,4.59
Manhattan,3.23
Manhattan,3.05
Manhattan,1.78
Manhattan,2.47
Manhattan,1.41
Manhattan,1.0
Manhattan,1.33
Manhattan,1.42
Manhattan,1.33
Manhattan,2.21
Manhattan,2.61
Manhattan,2.59
Manhattan,2.37
Manhattan,1.38
Manhattan,2.8
Manhattan,2.8
Manhattan,2.56
Manhattan,1.14
Manhattan,1.96
Manhattan,1.71
Manhattan,2.31
Manhattan,2.51
Manhattan,3.16
Manhattan,3.22
Manhattan,4.83
Manhattan,4.69
Manhattan,4.99
Manhattan,1.65
Manhattan,2.35
Manhattan,1.8
Manhattan,2.09
Manhattan,1.49
Manhattan,2.37
Manhattan,2.08
Manhattan,1.91
Manhattan,4.72
Manhattan,1.76
Manhattan,2.09
Manhattan,4.29
Manhattan,4.1
Manhattan,2.91
Manhattan,4.99
Manhattan,1.57
Manhattan,1.77
Manhattan,3.95
Manhattan,4.89
Manhattan,1.42
Manhattan,1.28
Manhattan,1.26
Manhattan,1.17
Manhattan,1.0
Manhattan,1.19
Manhattan,1.18
Manhattan,1.14
Manhattan,1.0
Manhattan,1.2
Manhattan,1.87
Manhattan,1.32
Manhattan,4.54
Manhattan,2.04
Manhattan,1.3
Manhattan,1.16
Manhattan,4.84
Manhattan,1.14
Manhattan,1.04
Manhattan,2.29
Manhattan,4.75
Manhattan,4.82
Manhattan,4.77
Manhattan,4.78
Manhattan,2.09
Manhattan,1.55
Manhattan,2.79
Manhattan,1.66
Manhattan,1.76
Manhattan,4.7
Manhattan,4.74
Manhattan,2.73
Manhattan,4.99
Manhattan,4.99
Manhattan,4.99
Manhattan,4.99
Manhattan,4.72
Manhattan,4.69
Manhattan,4.99
Manhattan,4.99
Manhattan,3.58
Manhattan,2.95
Manhattan,4.72
Manhattan,2.99
Manhattan,2.57
Manhattan,3.37
Manhattan,4.99
Manhattan,4.78
Manhattan,4.99
Manhattan,4.76
Manhattan,3.87
Manhattan,4.99
Manhattan,3.5
Manhattan,2.28
Manhattan,4.92
Manhattan,1.95
Manhattan,2.92
Manhattan,2.5
Manhattan,4.91
Manhattan,4.92
Manhattan,4.84
Manhattan,4.95
Manhattan,3.91
Manhattan,4.5
Manhattan,4.92
Manhattan,2.38
Manhattan,3.68
Manhattan,2.44
Manhattan,1.84
Manhattan,2.32
Manhattan,2.18
Manhattan,3.84
Manhattan,4.85
Manhattan,4.92
Manhattan,3.62
Manhattan,4.99
Manhattan,3.77
Manhattan,4.81
Manhattan,1.0
Manhattan,3.29
Manhattan,4.74
Manhattan,4.99
Manhattan,4.7
Manhattan,2.71
Manhattan,2.57
Manhattan,2.5
Manhattan,2.08
Manhattan,2.27
Manhattan,1.62
Manhattan,2.55
Manhattan,3.25
Manhattan,2.46
Manhattan,2.98
Manhattan,2.7
Manhattan,3.8
Manhattan,2.76
Manhattan,1.9
